iter	Passed	Remaining
800	7135	1772
801	7143	1763
802	7152	1754
803	7161	1745
804	7169	1736
805	7178	1727
806	7187	1719
807	7196	1710
808	7206	1701
809	7214	1692
810	7223	1683
811	7232	1674
812	7240	1665
813	7249	1656
814	7258	1647
815	7267	1638
816	7276	1629
817	7285	1620
818	7294	1612
819	7303	1603
820	7312	1594
821	7321	1585
822	7329	1576
823	7339	1567
824	7348	1558
825	7357	1549
826	7365	1540
827	7374	1531
828	7383	1523
829	7392	1514
830	7401	1505
831	7410	1496
832	7419	1487
833	7427	1478
834	7436	1469
835	7445	1460
836	7454	1451
837	7462	1442
838	7472	1433
839	7480	1424
840	7489	1416
841	7499	1407
842	7508	1398
843	7517	1389
844	7525	1380
845	7534	1371
846	7543	1362
847	7551	1353
848	7560	1344
849	7569	1335
850	7578	1326
851	7587	1318
852	7596	1309
853	7605	1300
854	7614	1291
855	7624	1282
856	7633	1273
857	7642	1264
858	7650	1255
859	7659	1246
860	7668	1237
861	7677	1229
862	7686	1220
863	7695	1211
864	7704	1202
865	7713	1193
866	7721	1184
867	7730	1175
868	7739	1166
869	7747	1157
870	7756	1148
871	7765	1139
872	7774	1130
873	7783	1122
874	7791	1113
875	7801	1104
876	7810	1095
877	7819	1086
878	7828	1077
879	7837	1068
880	7846	1059
881	7854	1050
882	7863	1041
883	7871	1032
884	7880	1024
885	7889	1015
886	7898	1006
887	7906	997
888	7916	988
889	7924	979
890	7933	970
891	7942	961
892	7950	952
893	7959	943
894	7968	934
895	7977	925
896	7985	916
897	7994	908
898	8003	899
899	8012	890
900	8021	881
901	8030	872
902	8038	863
903	8047	854
904	8055	845
905	8064	836
906	8073	827
907	8082	818
908	8091	810
909	8100	801
910	8108	792
911	8118	783
912	8126	774
913	8135	765
914	8144	756
915	8152	747
916	8161	738
917	8169	729
918	8178	720
919	8187	711
920	8196	703
921	8204	694
922	8213	685
923	8222	676
924	8231	667
925	8240	658
926	8249	649
927	8257	640
928	8266	631
929	8275	622
930	8284	613
931	8292	605
932	8301	596
933	8310	587
934	8318	578
935	8327	569
936	8335	560
937	8344	551
938	8353	542
939	8361	533
940	8370	524
941	8379	515
942	8388	507
943	8396	498
944	8405	489
945	8414	480
946	8423	471
947	8432	462
948	8440	453
949	8449	444
950	8457	435
951	8466	426
952	8474	417
953	8483	409
954	8492	400
955	8501	391
956	8509	382
957	8518	373
958	8526	364
959	8535	355
960	8544	346
961	8552	337
962	8561	328
963	8569	320
964	8578	311
965	8587	302
966	8596	293
967	8605	284
968	8613	275
969	8622	266
970	8631	257
971	8640	248
